will donald trump really run for president,[],,0
will the chinese stock market continue to rise throughout 2015,[],,0
will donald trump run for president of the united states,[],,0
will the usa and cuba reestablish diplomatic relations,[],,0
will arvind kejriwal become the chief minister of new delhi,[],,0
will the seattle seahawks defeat the new england patriots in super bowl xlix,[],,0
will mugabe retain power in zimbabwe by elections in 2015,[],,0
will google produce a doodle for la tomatina 2015,[],,0
will there be a stock market crash due to china,[],,0
will justin gatlin beat usain bolt at the 2015 world championships in beijing,[],,0
will the giants win the world series in 2014,[],,0
will the usa win the 2015 womens world cup,[],,0
did serena williams win the 2015 miami open,[],,0
will the yankees make it back to the world series in 2015,[],,0
will the royals finally make it to the world series in 2014,[],,0
will new horizons make it to pluto in 2015,[],,0
will the lakers make the nba finals in 2015,[],,0
will nick clegg stand down as leader of the liberal democrats,[],,0
will the broncos win the super bowl,[],,0
will donald trump run for president of the united states of america,[],,0
did the new england patriots win the super bowl in 2015,[],,0
did the chicago blackhawks win the 2015 stanley cup playoffs,[],,0
will phil taylor win the 2015 world darts championship,[],,0
will lebron james take the cavaliers to the nba finals,[],,0
will hillary clinton run for the dncs presidential nomination in 2015,[],,0
will peyton manning retire before the 2015 nfl season,[],,0
did jordan spieth win the 2015 masters golf tournament,[],,0
will seahawks win the superbowl for the 2014 season,[],,0
will ed miliband stand down as the leader of the labour party,[],,0
will the fcc in the us pass net neutrality,[],,0
would phil jackson return to the nba to coach the new york knicks,[],,0
will australia win the 2015 ashes,[],,0
did serena williams win the 2015 australian open,[],,0
will the san antonio spurs win the nba championship,[],,0
will the giants make it back to the world series in 2014,[],,0
will jessica ennis win the heptathlon at the 2015 world athletics championships,[],,0
will senator bernie sanders run for president in 2015,[],,0
did the united states restore full diplomatic relations with cuba in 2014,[],,0
did the lightning win the stanley cup in 2015,[],,0
will hillary clinton run for president,[],,0
will the seattle seahawks win the superbowl,[],,0
will the san francisco giants win the 2014 world series,[],,0
will the chinese lower the value of their yuan,[],,0
did the blackhawks win the stanley cup in 2015,[],,0
will south africa win cricket series against bangladesh,[],,0
will the tampa bay lightning win the stanley cup in 2015,[],,0
will the democrats maintain their majority in the us senate after the 2014 elections,[],,0
will donald trump back out of the presidential election,[],,0
will ed balls be re-elected,[],,0
will wisconsin win the 2015 ncaa championship,[],,0
will tony martin win tour de france 2015,[],,0
will roger federer win the 2015 wimbledon championship,[],,0
will the new york rangers win the stanley cup,[],,0
will the kansas city royals win the 2014 world series,[],,0
did the kansas city royals win the 2014 baseball world series,[],,0
do the seahawks win super bowl xlix,[],,0
will the conservatives lose the 2015 uk election,[],,0
did the washington nationals play in the world series in 2014,[],,0
will the us supreme court rule marriage should be only between a man and a woman,[],,0
will india win cricket series against bangladesh in 2015,[],,0
will the seattle seahawks win the 2015 super bowl,[],,0
can lebron bring an nba championship to cleveland,[],,0
did barack obama get impeached in november 2014,[],,0
will stan wawrinka lose the mens french open 2015 championship,[],,0
will american pharoah win the travers stakes,[],,0
had roger federer beat martin cilic in us open 2014,[],,0
will serena williams lose the 2015 wimbledon womens title,[],,0
did lucie safarova win the 2015 womens french open,[],,0
will the boston red sox win the 2014 world series,[],,0
had roger federer beat novak djokovic to win wimbledon 2014 finals,[],,0
did obama sign any important tax bills in 2014,[],,0
will donald trump run for president,[],,0
will bernie sanders be the frontrunner of presidential candidates in 2016,[],,0
will congress review the iran deal,[],,0
will gay marriage be legalized in 2015,[],,0
will gay marriage be legalized,[],,0
did the un meet for environmental purposes in 2014,[],,0
will donald trump attempt to run for president,[],,0
will elizabeth warren run for president,[],,0
did any important political world leaders die in 2014,[],,0
was there concern for the stock market in july,[],,0
will the democrats retain the senate majority after the 2014 elections,[],,0
was gay marriage legalized,[],,0
